RPID2,CTABCA,CT Abd Angio w/wo,CT Abdomen Angio w and wo IV Contrast,RID10321|RID13060|0|RID56|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID3,CTABU,CT Abd wo,CT Abdomen wo  IV Contrast,RID10321|RID13060|0|RID56|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID4,CTABC,CT Abd w/wo,CT Abdomen w and wo IV Contrast,RID10321|RID13060|0|RID56|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID5,CTABE,CT Abd w,CT Abdomen w IV Contrast,RID10321|RID13060|0|RID56|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID6,CTCHCA,CT Chest Angio w/wo,CT Chest Angio w and wo IV Contrast,RID10321|RID13060|0|RID1243|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID7,CTHDCA,CT Head Angio w/wo,CT Head Angio w and wo IV Contrast,RID10321|RID13060|0|RID9080|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID10,CTCLECAR,CT Leg Angio w/wo,CT Lower Extremity Angio w and wo IV Contrast,RID10321|RID13060|0|RID2638|0|0|0|0|RID10371|0|0|0|0|0|0|RID5825|0|0|0|0|RID28771|0|0|0|0|0|
RPID11,CTNKCA,CT Neck Angio w/wo,CT Neck Angio w and wo IV Contrast,RID10321|RID13060|0|RID7488|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID12,CTPLCA,CT Pelv Angio w/wo,CT Pelvis Angio w and wo IV Contrast,RID10321|RID13060|0|RID2507|0|0|0|0|RID10371|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID16,CTCHU,CT Chest wo,CT Chest wo IV Contrast,RID10321|RID13060|0|RID1243|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID17,CTCHC,CT Chest w/wo,CT Chest w and wo IV Contrast,RID10321|RID13060|0|RID1243|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID18,CTCHE,CT Chest w,CT Chest w IV Contrast,RID10321|RID13060|0|RID1243|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID19,CTCSC,CT C-Spine w/wo,CT Cervical Spine w and wo IV Contrast,RID10321|RID13060|0|RID34571|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID20,CTCSE,CT C-Spine w,CT Cervical Spine w IV Contrast,RID10321|RID13060|0|RID34571|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID21,CTCSU,CT C-Spine wo,CT Cervical Spine wo IV Contrast,RID10321|RID13060|0|RID34571|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID22,CTHDU,CT Head wo,CT Head wo IV Contrast,RID10321|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
RPID23,CTHDC,CT Head w/wo,CT Head w and wo IV Contrast,RID10321|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28771|0|0|0|0|0|
RPID24,CTHDE,CT Head w,CT Head w IV Contrast,RID10321|RID13060|0|RID9080|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28769|0|0|0|0|0|
RPID31,CTLSU,CT L-Spine wo,CT Lumbar Spine wo IV Contrast,RID10321|RID13060|0|RID34573|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|RID28768|0|0|0|0|0|
